Eid,FallPas,CowYr,CowNo,CowBrd,Type1,Origin,SireYr,SireNo,Damno,SrvSirBrd,SrvSirNo,Project,FallDate,FallWt,FallDisp,FallHgtTp,FallHgtLz,FallBCS1,FallBCS2,Preg,FallComment,WinDate,WinWt,WinDisp,WinBCS1,WinBCS2,SprDate,SprWt,SprBCS1,SprBCS2,SumDate,SumWt,SumDisp,SumBCS1,SumBCS2,CullReason,Herd,Wt0113,CowwtBr
840003008064176,13,2012,2022,RdAxAn,AngSm,Rais-Sm,,7763,120,Rd,1008,IGOS-E,11-21-2013,921,2,49,49.66,6,5.5,P,,,,,,,,,,,,,,,,,,,704
840003008064197,13,2012,2027,RdAxAn,AngSm,Rais-Sm,,7763,53,Rd,1008,IGOS-E,11-21-2013,1005,6,50,50.71,5.5,5.5,P,,,,,,,,,,,,,,,,,,,845
840003008064178,13,2012,2036,RdAxAn,AngSm,Rais-Sm,,7763,1176,Rd,1039,IGOS-E,11-21-2013,1101,4,49.5,50.93,6,6,P,,,,,,,,,,,,,,,,,,,887
840003008064199,9,2012,2037,RdAxAn,AngSm,Rais-Sm,,7763,7395,Rd,1039,IGOS-W,11-21-2013,1017,3,49,50.3,6,5.5,O,,,,,,,,,,,,,,,,,,,895
840003008064188,13,2012,2038,RdAxAn,AngSm,Rais-Sm,,7763,6227,Rd,1039,IGOS-E,11-21-2013,956,3,49,51.21,5,5.5,P,,,,,,,,,,,,,,,,,,,818
840003008063801,13,2012,2039,RdAxAn,AngSm,Rais-Sm,,7763,1161,Rd,1039,IGOS-E,11-21-2013,928,1,50,49.41,5,5,P,,,,,,,,,,,,,,,,,,,805
840003008064196,9,2012,2041,RdAxAn,AngSm,Rais-Sm,,8842,3308,Rd,1039,IGOS-W,11-21-2013,887,3,47,48.29,5,5.5,O,NT changed number,,,,,,,,,,,,,,,,,,748
840003008064195,13,2012,2043,An,AngLg,Rais-Lg,,185,823,Rd,1039,IGOS-E,11-21-2013,1001,3,49,50.97,5.5,5,P,,,,,,,,,,,,,,,,,,,844
840003008064179,9,2012,2045,RdAxAn,AngSm,Rais-Sm,,7763,317,Rd,1008,IGOS-W,11-21-2013,932,3,47.5,48.33,5.5,5,P,,,,,,,,,,,,,,,,,,,760
840003008064172,9,2012,2055,An,AngLg,Rais-Lg,,185,9132,Rd,1008,IGOS-W,11-21-2013,841,2,46.5,47.39,5,5,O,,,,,,,,,,,,,,,,,,,697
840003008064163,9,2012,2056,An,AngLg,Rais-Lg,,185,8263,Rd,1039,IGOS-W,11-21-2013,877,6,50.5,49.73,5.5,5.5,P,,,,,,,,,,,,,,,,,,,739
840003008064198,13,2012,2062,RdAxAn,AngSm,Rais-Sm,,7763,8344,Rd,1039,IGOS-E,11-21-2013,861,2,48,47.43,5,5,P,,,,,,,,,,,,,,,,,,,714
840003008064167,9,2012,2063,RdAxAn,AngSm,Rais-Sm,,8842,7240,Rd,1008,IGOS-W,11-21-2013,851,2,47,47.63,5,5,P,,,,,,,,,,,,,,,,,,,677
840003008064183,13,2012,2064,RdAxAn,AngSm,Rais-Sm,,8842,8229,Rd,1039,IGOS-E,11-21-2013,943,2,49,50.6,5,5,P,,,,,,,,,,,,,,,,,,,766
840003008064169,9,2012,2068,An,AngLg,Rais-Lg,,6068,977,Rd,1008,IGOS-W,11-21-2013,913,3,48,49.37,5.5,6,P,,,,,,,,,,,,,,,,,,,720
840003008064164,13,2012,2077,An,AngLg,Rais-Lg,,185,408,Rd,1039,IGOS-E,11-21-2013,928,4,48.5,49.49,5.5,6,P,,,,,,,,,,,,,,,,,,,748
840003008063803,9,2012,2086,AnxBr,AngLg,Rais-Lg,,473,3136,Rd,1039,IGOS-W,11-21-2013,966,2,49.5,51.32,5,5,P,,,,,,,,,,,,,,,,,,,771
840003008064194,13,2012,2091,AnxBr,AngLg,Rais-Lg,,473,5179,Rd,1008,IGOS-E,11-21-2013,1119,2,53,52.64,5,5,P,,,,,,,,,,,,,,,,,,,898
840003008064193,9,2012,2103,RdAxAn,AngSm,Rais-Sm,,8842,2324,Rd,1008,IGOS-W,11-21-2013,909,2,50,52.14,5,5,P,,,,,,,,,,,,,,,,,,,698
840003008064189,9,2012,2116,AnxBr,AngLg,Rais-Lg,,4104,5100,Rd,1008,IGOS-W,11-21-2013,999,3,49,53.15,5,5,P,,,,,,,,,,,,,,,,,,,812
840003008064190,9,2012,2131,RdAxAn,AngSm,Rais-Sm,,7763,8332,Rd,1039,IGOS-W,11-21-2013,784,4,47,49.03,5,5,O,,,,,,,,,,,,,,,,,,,685
840003008064174,13,2012,2134,AnxAnxBr,AngLg,Rais-Lg,,6068,43,Rd,1039,IGOS-E,11-21-2013,1036,4,51,50.01,5.5,5,P,,,,,,,,,,,,,,,,,,,806
