Eid,FallPas,CowYr,CowNo,CowBrd,Type1,Origin,SireYr,SireNo,Damno,SrvSirBrd,SrvSirNo,Project,FallDate,FallWt,FallDisp,FallHgtTp,FallHgtLz,FallBCS1,FallBCS2,Preg,FallComment,WinDate,WinWt,WinDisp,WinBCS1,WinBCS2,SprDate,SprWt,SprBCS1,SprBCS2,SumDate,SumWt,SumDisp,SumBCS1,SumBCS2,CullReason,Herd,Wt0113,CowwtBr
840003008063850,15,2008,408,An,AngLg,Frey,,14343172,14731096,An,6056,IGOS-E,11-5-2013,1406,5,54,54,4.5,5,P,,,,,,,,,,,,,,,,,,1424,1291
,WSH,2006,644,An,AngSm,Florida,,2003137,99117,,,Ang-Flush,,,,,,,,,,,,,,,,,,,,,,,,,,,
840003008063960,12,2008,708,An,AngLg,Frey,,14343172,13616511,An,6056,IGOS-W,11-5-2013,1350,2,54,53.08,4.5,5,P,,,,,,,,,,,,,,,,,,1468,1351
840003008063848,15,2008,812,An,AngLg,Frey,,14904066,14584965,An,6040,IGOS-E,11-5-2013,1514,2,53,54.81,7,6.5,O,,,,,,,,,,,,,,,,,,,1550
840003008063843,12,2008,822,An,AngLg,Frey,,14343172,13476878,An,6025,IGOS-W,11-6-2013,1340,1,52,54.35,6,6,P,,,,,,,,,,,,,,,,,,1429,1337
840003008063961,12,2008,823,An,AngLg,Frey,,14343172,13682753,An,6040,IGOS-W,11-5-2013,1477,3,52.5,54.27,5.5,5.5,P,Bad Left eye,,,,,,,,,,,,,,,,,,1545
,,2008,825,An,,Frey,,14904066,13539201,An,106,ANGUS,,,,,,,,,,,,,,,,,,,,,,,,,,1553,1439
840003008063952,12,2008,827,An,AngLg,Frey,,14343172,14877119,An,6040,IGOS-W,11-5-2013,1401,2,52.5,53.04,5,5,P,,,,,,,,,,,,,,,,,,1720,1528
840003008063835,15,2008,832,An,AngLg,Frey,,14343172,13682753,An,6025,IGOS-E,11-6-2013,1268,3,51,52.52,5,5,O,,,,,,,,,,,,,,,,,,1358,1303
840003008063836,12,2008,834,An,AngLg,Frey,,14904066,13682754,An,6025,IGOS-W,11-6-2013,1412,2,54,55.46,5,5.5,P,May not be in inve,,,,,,,,,,,,,,,,,1508,1450
840003008063971,15,2008,835,An,AngLg,Frey,,14904066,14506502,An,6056,IGOS-E,11-5-2013,1490,2,53.5,54.89,5,5,O,,,,,,,,,,,,,,,,,,1619,1472
840003008063847,15,2008,836,An,AngLg,Frey,,14904066,14887711,An,6056,IGOS-E,11-5-2013,1940,2,56,57.93,7,8,O,,,,,,,,,,,,,,,,,,,1891
840003008063956,15,2008,844,An,AngLg,Frey,,14343172,14877116,An,6056,IGOS-E,11-5-2013,1362,3,53.5,54.65,5,5,O,,,,,,,,,,,,,,,,,,1444,1275
840003008063951,12,2008,908,An,AngLg,Frey,,14343172,15023587,An,6056,IGOS-W,11-5-2013,1720,4,55,55.71,7,7.5,P,,,,,,,,,,,,,,,,,,,1654
840003008063989,15,2009,913,An,AngLg,Hendricks,,15670184,15956657,An,6056,IGOS-E,11-5-2013,1305,3,52.5,51.55,6,5.5,P,,,,,,,,,,,,,,,,,,1487,1312
840003008063967,15,2009,914,An,AngLg,Hendricks,,13412671,15768413,An,6040,IGOS-E,11-5-2013,,1,53,54.27,4.5,4.5,O,,,,,,,,,,,,,,,,,,,1596
840003008063978,15,2009,919,An,AngLg,Hendricks,,15670184,15956650,An,6040,IGOS-E,11-5-2013,1346,1,54,53.44,5,5.5,P,,,,,,,,,,,,,,,,,,1487,1378
840003008064000,15,2009,921,An,AngLg,Hendricks,,13544928,15971988,An,6056,IGOS-E,11-5-2013,1488,2,55,55.32,5,5,P,,,,,,,,,,,,,,,,,,1605,1399
840003008063983,15,2009,924,An,AngLg,Hendricks,,15670184,15956653,An,6040,IGOS-E,11-5-2013,1268,1,51.5,51.39,5,5.5,O,,,,,,,,,,,,,,,,,,1484,1235
,,2009,940,An,,Hendricks,,15109865,15379524,An,6056,Angus,,,,,,,,,,,,,,,,,,,,,,,,,,,1478
840003008063986,15,2009,944,An,AngLg,Hendricks,,15670184,15973323,An,6056,IGOS-E,11-5-2013,1419,1,53,53.19,6,6,P,,,,,,,,,,,,,,,,,,1484,1462
840003008063979,15,2009,948,An,AngLg,Hendricks,,15034593,15450807,An,6040,IGOS-E,11-5-2013,1497,1,55.5,55.67,5,5,O,,,,,,,,,,,,,,,,,,1633,1465
840003008063992,15,2009,949,An,AngLg,Hendricks,,13880818,15442272,An,6040,IGOS-E,11-5-2013,1479,3,55,56.87,6,6,P,,,,,,,,,,,,,,,,,,1630,1454
840003008063959,12,2009,952,An,AngLg,Hendricks,,15034593,15434217,An,6056,IGOS-W,11-5-2013,1688,3,54,55.07,6.5,6.5,P,,,,,,,,,,,,,,,,,,,1602
840003008063985,15,2009,954,An,AngLg,Hendricks,,15313140,15434197,An,6040,IGOS-E,11-5-2013,1336,1,54,55.76,5,5,O,,,,,,,,,,,,,,,,,,1490,1369
840003008063970,15,2009,957,An,AngLg,Hendricks,,15670184,15973421,An,6040,IGOS-E,11-5-2013,1493,2,56,56.15,6,6,O,,,,,,,,,,,,,,,,,,1579,1545
0,12,2009,965,An,AngLg,Hendricks,,13592905,15971992,An,6025,IGOS-W,11-6-2013,1312,2,52.5,52.5,5,5,O,,,,,,,,,,,,,,,,,,1393,1318
840003008063842,15,2009,966,An,AngLg,Hendricks,,13880818,15372023,An,106,IGOS-E,11-6-2013,1354,3,53,53.87,5.5,4.5,O,,,,,,,,,,,,,,,,,,1573,1455
840003008063968,12,2009,968,An,AngLg,Hendricks,,13544928,15971985,An,6056,IGOS-W,11-5-2013,1325,2,53,53.02,5,4.5,P,,,,,,,,,,,,,,,,,,1545,1356
840003008063977,12,2009,972,An,AngLg,Hendricks,,13592905,15580370,An,6040,IGOS-W,11-5-2013,1730,1,53,53.96,6.5,6.5,P,,,,,,,,,,,,,,,,,,,1583
840003008063976,15,2009,976,An,AngLg,Hendricks,,15109865,13069650,An,6056,IGOS-E,11-5-2013,1288,1,53,51.45,4.5,4.5,P,,,,,,,,,,,,,,,,,,1341,1222
840003008063996,15,2009,977,An,AngLg,Hendricks,,15915996,14909359,An,6056,IGOS-E,11-5-2013,1191,1,52.5,54.3,4.5,4.5,P,,,,,,,,,,,,,,,,,,1282,1149
840003008063824,15,2009,982,An,AngLg,Hendricks,,,,An,6025,IGOS-E,11-7-2013,1261,2,53.5,53.01,4.5,5,P,,,,,,,,,,,,,,,,,,1521,1403
840003008063987,15,2009,991,An,AngLg,Hendricks,,15313140,14215786,An,6040,IGOS-E,11-5-2013,1848,4,55,55.89,7,7.5,O,,,,,,,,,,,,,,,,,,,1769
840003008063993,15,2009,998,An,AngLg,Hendricks,,15313140,15442263,An,6056,IGOS-E,11-5-2013,1618,2,55,56.06,6.5,6.5,P,,,,,,,,,,,,,,,,,,1522,1384
982000062012904,13,2011,1016,An,AngLg,Rais-Lg,,472,2608,Rd,1028,IGOS-E,11-4-2013,1139,1,55,57.44,4.5,4.5,P,,,,,,,,,,,,,,,,,,1283,1255
840003008063815,9,2011,1038,An,AngLg,Rais-Lg,,472,708,Rd,1028,IGOS-W,11-4-2013,959,1,50.5,52.62,4,4,P,,,,,,,,,,,,,,,,,,1186,1130
,,2011,1052,An,,Rais-Lg,,6054,2808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840003008063808,13,2011,1054,An,AngLg,Rais-Lg,,6112,9104,Rd,1028,IGOS-E,11-4-2013,1433,3,54,54.68,6.5,6.5,P,,,,,,,,,,,,,,,,,,1301,1056
840003008063809,13,2011,1074,An,AngLg,Rais-Lg,,,949,Rd,1028,IGOS-E,11-4-2013,998,2,51,52.54,5.5,5,P,,,,,,,,,,,,,,,,,,1149,1150
,,2011,1093,An,,Rais-Lg,,472,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
